Id,Dialect,District,Script_Type
1,north,,Roman_Script
2,north,,Roman_Script
3,north,,Roman_Script
4,north,,Roman_Script
5,north,,Roman_Script
6,north,,Roman_Script
7,north,,Roman_Script
8,north,,Roman_Script
9,north,,Roman_Script
10,north,Mardan,Roman_Script
11,north,Mardan,Roman_Script
12,north,Charsadda,Roman_Script
13,north,Charsadda,Roman_Script
14,north,Rawalpindi,Roman_Script
15,north,Charsadda,Roman_Script
16,north,Mardan,Roman_Script
17,north,Buner,Roman_Script
18,north,Buner,Roman_Script
19,north,Buner,Pashto_Script
20,north,Charsadda ,Roman_Script
21,north,Mardan,Roman_Script
22,north,Buner ,Roman_Script
23,north,Nowshera ,Roman_Script
24,north,Mardan ,Roman_Script
25,north,Mardan ,Roman_Script
26,other,Buner ,Roman_Script
27,north,Mardan ,Roman_Script
